Burj Khalifa,Dubai,UAE,828 m,163,2010
Shanghai Tower,Shanghai,China,632 m,128,2015
Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601 m,120,2012
Ping An Finance Centre,Shenzhen,China,600 m,115,2016
Lotte World Tower,Seoul,South Korea,555 m,123,2016
One World Trade Center,New York City,United States,541 m,104,2014
CTF Finance Centre,Guangzhou, China,530 m,111,2016
Taipei 101,Taipei,Taiwan,509 m,101,2004
Shanghai World Financial Center,Shanghai,China,492 m,101,2008
International Commerce Centre,Hong Kong,Hong Kong,484 m,118,2010
